segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,labels
-5.985576,0.6534807,-2.640563,-6.648328,-3.152018,-3.753314,-4.386181,-1.295045,1.615618,-1.70761,-2.355758,-4.48173,-3.942454,-3.292826,-3.234151,S  2
0.4363438,-3.544929,-2.770759,-0.7267041,-4.871864,4.169269,0.09419826,0.8665351,-0.1348957,6.265809,-0.617323,0.7377076,2.795204,-2.033341,-1.558539,S  2
2.885489,4.987326,1.257573,3.628488,2.44164,7.961325,8.576753,1.982784,0.3307509,6.154093,12.02164,10.78713,6.423513,7.928944,4.963445,S  2
-1.895057,-4.422677,-1.11362,-3.93842,-3.327966,-1.507304,-5.148845,1.426347,-0.7073926,3.71132,3.616603,1.186021,-2.142538,-0.44268,-1.412362,S  2
-0.29339,3.518294,-0.4464254,-1.100128,-3.149539,2.319888,13.67903,1.874683,0.7538558,3.136328,-0.1062061,-0.1315647,1.754191,2.820992,-1.040639,S  2
-0.3424479,9.339218,1.198109,0.2698961,-1.659546,3.593305,6.039518,0.9798299,0.4697874,4.789505,3.613899,3.018654,1.900322,3.322977,-0.9652361,S  2
3.973858,-7.573502,0.05441023,0.224694,-4.124814,3.853458,-2.676448,4.309361,-3.626557,9.762883,4.130426,4.932617,1.806868,-1.173347,-1.60754,S  2
1.372214,2.29321,0.5252846,-1.700676,-4.541834,0.8566101,5.149374,2.656943,-0.7229018,2.706537,-3.233356,-2.751507,-1.691634,-2.066936,-3.105032,S  2
-1.535135,0.2560301,-2.365016,-1.635419,-3.043174,-1.192493,-1.430598,1.192217,-1.051499,0.07549085,0.3221497,-0.6784729,-3.58677,-2.735997,-1.013491,S  6
-3.597573,-0.2150621,-2.789664,-4.025527,-2.608063,-3.192361,-1.753973,0.07567534,0.9567581,-0.9947951,-1.677854,-4.117287,-5.931026,-2.479843,-4.315771,S  6
-3.783199,-5.472239,-4.353518,-5.304749,-7.528609,-2.165238,-4.150567,-0.6303824,-2.04161,-1.757188,-2.745119,-3.680438,-5.002666,-6.399978,-6.4352,S  6
1.47767,-2.190675,-4.133192,-0.9606515,-6.628479,1.94432,-2.586751,1.839648,-1.070741,3.571315,-1.650468,-2.286901,-1.757397,-4.69985,-3.401038,S  6
1.553189,2.067814,-1.713997,-1.576631,-1.790011,2.254494,-0.4680403,2.567568,1.865815,3.995544,1.060342,-3.01718,-3.30555,-1.078878,-2.807922,S  6
-2.971198,-3.924623,-4.332352,-5.557394,-6.75334,-1.560376,-11.00048,-1.60656,-0.06506006,-1.822152,-7.245413,-7.271247,-6.276274,-8.148999,-7.7162,S  6
