segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
-2.080342,-4.256579,-4.475327,-4.59339,-5.126048,-4.645403,-12.13012,0.7882693,-2.929874,0.206429,-9.520459,-12.56792,-10.32455,-9.008294,-5.350761,-9.605837,-7.257131,S  7
-2.351228,2.736505,-2.100529,-6.532842,-1.595664,-4.9394,-3.754278,0.008129699,0.07226153,-4.574101,-5.22401,-9.952617,-2.306563,-3.270754,-5.553623,-3.041219,-5.876327,S  7
-3.034021,-1.539633,-3.223412,-8.47655,-3.078165,-5.493674,-5.032051,1.167333,-0.652979,-0.2376158,-4.596342,-14.81304,-10.6736,-9.099036,-8.598651,-5.725591,-7.973786,S  7
-2.268178,-1.640547,-2.279835,-3.433748,-1.801519,-4.828432,-3.045749,-0.3670254,-1.105279,-0.1873114,-2.545553,-8.832005,-6.163849,-4.731671,-5.80791,-3.488918,-4.792838,S  7
-1.294923,-0.6554278,-2.21493,-4.541224,-1.201483,-4.77669,-0.8324006,0.041896,1.639693,-1.063052,0.4871361,-7.902913,-2.81466,-3.085713,-7.061325,-2.649834,-6.22032,S  7
-0.9143636,-2.866357,-1.620755,-6.231308,-0.6839149,-3.085107,0.5123374,-0.1882492,-0.5825155,1.488607,-4.224632,-11.52623,2.768856,-1.631087,-7.132555,-0.3988195,-5.371413,S  7
0.2173759,-0.3899577,-0.3908297,-3.225185,-0.4666706,-3.435433,2.886367,-0.6346587,0.6663829,-0.4914196,4.232423,-4.603789,-8.576271,-4.532158,-4.904406,-0.5151501,-4.212088,S  7
-0.04997261,-2.714153,-1.396963,-2.567847,0.2806731,-3.772683,3.357984,-0.1226152,1.952881,0.4857006,2.702536,-4.513353,-3.820091,-3.522002,-4.650037,-0.5951609,-2.828661,S  7
0.1017112,-2.706607,0.1766416,-1.578145,1.003003,-0.06085797,5.040149,-1.89987,1.112926,-3.385505,0.9675619,-2.773019,12.95094,6.085515,-0.6418163,4.544259,-0.06701077,S  7
1.784729,-3.673171,0.2193582,-2.756561,-0.7640572,-0.9838523,0.8349374,-1.162622,1.122292,0.6991102,2.521673,-4.51321,-9.460997,-5.495829,-2.782531,-1.09564,-3.526192,S  7
