segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
1.839677,4.162164,0.8541795,2.503088,4.346568,5.492671,7.376589,-0.293157,0.6374907,2.02746,2.392656,8.41703,8.513685,3.532067,6.098289,4.332749,boundary
3.203409,3.648753,1.736802,3.450604,4.414508,7.072238,6.551513,0.5933467,0.7740805,3.263363,1.678311,10.82703,11.5335,6.512504,6.225622,5.209342,boundary
4.224453,1.898044,1.897274,4.977006,3.734325,8.908257,5.800045,1.866176,0.2475556,4.93402,1.226797,9.528031,9.875315,7.752315,5.5097,5.075464,boundary
5.061683,3.857341,1.99432,5.909608,5.692601,10.93652,9.109496,0.5365888,-0.2093328,2.749274,0.502808,11.8537,10.22279,8.08487,8.078601,6.946061,boundary
3.593509,5.357511,2.816822,6.495438,7.784426,6.371347,8.553676,0.7222911,1.622375,1.369789,1.705095,9.717186,12.47812,8.225501,9.36594,8.691273,boundary
5.56492,3.289255,2.793128,9.056846,7.458463,10.28939,5.950535,1.684999,0.6855707,1.890719,-1.250482,12.14098,10.9669,11.86287,7.874666,10.38554,boundary
5.071476,4.203146,2.748939,7.440306,6.787424,10.25448,7.497946,-0.02075105,0.5192796,0.7675225,1.102743,13.25494,11.13102,10.92082,8.180866,8.698068,boundary
2.760628,6.82561,3.82958,8.01275,9.223935,6.713843,10.33618,0.3638901,2.084085,-1.634957,1.971972,8.458586,10.40129,9.163048,10.51472,10.12264,boundary
3.574598,5.285087,2.843167,8.104386,9.154866,7.027534,6.993039,-0.2677216,1.566796,-1.66689,1.293416,9.579199,9.123519,9.81415,8.818222,11.12237,boundary
0.6824885,5.539084,3.578128,6.970942,8.834235,4.62108,5.812042,-1.48684,2.038045,-4.825166,1.536977,12.39411,12.06336,9.541357,9.09311,10.99766,boundary
4.131984,-2.848882,2.381588,2.339441,-1.926698,3.02025,-2.716025,2.278961,0.08264347,4.940158,-3.850857,4.797705,2.360041,3.350085,-1.779812,-0.9611878,boundary
1.742515,-1.642281,1.731497,0.7626266,-1.558817,4.884861,0.4832104,0.1097991,-0.09814816,2.793433,-1.417623,5.603097,3.944524,3.036209,0.5533767,0.5536993,boundary
1.542125,-3.39551,1.249364,-0.4517197,-2.503711,1.873442,-2.258231,0.7122882,-0.2027948,3.714068,-3.837494,1.213734,0.07858025,0.40177,-1.458477,-2.478799,boundary
2.205204,-2.507596,1.727048,0.01513901,-3.297828,0.7065649,-2.940898,1.712586,0.4956595,3.660997,-3.201012,-1.660639,-2.925856,-0.4890423,-3.305898,-3.671009,boundary
