segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
-8.666945,-7.670115,-11.03184,-9.896417,-20.79563,-12.5547,0.06012353,-0.5792359,-20.07623,-21.09929,-19.69608,-16.64425,-15.26541,-13.09612,boundary
-2.15426,-4.025851,-6.875312,-7.30104,-3.784469,-13.07643,-0.6635024,-6.237406,-13.3005,-14.94577,-13.66102,-8.079179,-14.20362,-7.344455,boundary
-10.3759,-9.827894,-15.90885,-13.90885,-27.47658,-17.07329,-2.723041,3.341766,-20.28986,-24.09735,-22.03428,-19.72227,-19.24158,-16.67624,boundary
-12.76185,-10.53844,-16.22923,-16.85286,-14.17489,-17.86127,-1.836676,0.4411512,-27.29758,-29.75683,-28.87435,-18.84411,-22.63884,-18.61396,boundary
-7.685365,-11.58895,-17.13733,-16.52382,-20.91374,-22.11166,-0.9188256,-3.584913,-24.7621,-23.86665,-25.38315,-19.39993,-24.22754,-18.97875,boundary
-9.401665,-11.23529,-16.8651,-15.35892,-28.0066,-12.96922,-4.605577,2.950266,-22.08367,-24.07844,-22.06545,-21.24018,-17.37866,-17.29966,boundary
-10.95039,-11.70032,-19.87579,-19.4872,-19.86101,-17.42977,-2.263179,-3.006415,-28.43356,-28.67791,-28.17644,-22.37554,-22.99191,-21.5287,boundary
-7.712744,-11.55962,-18.46145,-17.07596,-20.34862,-16.57566,-2.089882,3.216269,-23.02336,-21.31478,-23.77046,-19.03595,-20.093,-19.97961,boundary
-3.200542,-10.59129,-17.27124,-13.1263,-22.9918,-5.698635,-0.9410703,1.8184,-18.70259,-15.87174,-17.34307,-19.77047,-12.60001,-15.27927,boundary
-2.644231,-0.6153213,-1.727547,-0.7664901,-5.58867,-2.272806,-1.187762,-3.476127,-6.0857,-6.430796,-5.656888,-3.117603,-4.916513,-2.582593,boundary
-1.946179,-1.777093,-1.154739,-1.513651,-5.418388,-3.72985,-1.729695,-0.8846198,-6.806022,-7.065099,-6.381143,-3.353336,-8.566556,-3.319837,boundary
-3.03044,0.05724275,1.773937,0.6279016,-0.1675484,-2.642771,-1.130434,-4.25898,-3.216434,-3.757266,-2.576973,1.278016,-6.729989,-0.5762638,boundary
-2.790241,-2.034961,-0.8358386,-1.193631,-0.6409855,-0.09725092,-0.9701524,-4.594529,-1.881929,-2.463393,-1.160686,0.8842824,-6.03242,-2.275948,boundary
0.1131654,-0.524828,-0.901906,0.07514378,-3.153633,-0.7485955,1.080609,2.893011,0.2241928,-1.249113,0.5465711,0.3678642,-7.115526,-1.184116,boundary
-1.983596,1.700393,4.748359,1.324207,13.46805,-1.563519,-0.845705,-5.070624,1.483706,0.8561786,1.449414,7.241073,-6.632503,1.087249,boundary
1.044881,0.1324807,2.02773,2.182328,0.6296861,3.932277,0.8909581,0.04624224,1.799391,1.578196,2.866752,4.381708,-4.302089,0.4182087,boundary
1.592738,0.6772237,-1.272975,1.376817,-2.49138,3.936678,2.592716,4.28455,2.899576,4.482777,4.456265,1.845027,-3.290731,-0.2562684,boundary
2.371361,3.560439,4.420065,3.135465,12.39348,3.766862,1.853793,0.4545289,3.412164,4.814214,4.351509,7.315107,-2.62378,2.243315,boundary
4.224214,3.223014,3.646437,4.69807,0.9570557,5.987817,2.810886,4.892605,4.142876,4.576828,4.938523,5.064964,-1.40431,3.505902,boundary
2.056058,1.593838,-0.08599145,2.385414,-1.535401,5.489481,2.012457,3.160408,0.6102997,5.486412,2.948827,1.098601,-1.3438,0.3638059,boundary
-1.530594,-1.307094,-1.466862,0.7595561,-11.69619,-2.026773,-1.659352,-7.800372,-4.387027,-3.522817,-3.965008,-4.797132,-1.709023,-2.537347,boundary
0.7985209,1.253549,4.08037,1.085605,24.31586,-3.336007,0.4280676,2.249915,0.3197697,0.9475526,-0.7311358,6.304817,-1.13576,1.452294,boundary
1.343618,1.425593,0.1671674,4.468954,-11.07882,11.83169,0.255192,17.7747,-1.425712,1.110272,1.728533,-3.377032,2.902314,1.36252,boundary
1.215126,0.07765219,-0.1798705,1.044004,2.202996,-4.358985,-0.8406456,-16.45243,-4.546157,-3.484259,-2.930392,-1.449921,-1.855969,-0.9577298,boundary
-4.242895,-0.1301569,2.067601,-0.1238567,7.697533,-11.69357,-0.9453734,0.4787852,1.565356,2.507684,0.5899942,2.36375,-3.778877,0.7244123,boundary
