segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,labels
1.270635,-1.223048,-5.008625,-1.573484,-3.341296,2.540473,-1.727481,-0.5074786,-2.716763,-1.123026,0.9329481,-2.10507,S  9
-3.860998,-0.4813443,-3.549636,-5.209,-11.91625,-7.463705,-12.70225,-11.40966,-13.1942,-7.246698,-8.972647,-7.207119,S  9
-4.818485,0.727967,-1.996439,-4.367458,-5.805762,-8.070824,-9.952426,-9.883883,-11.89922,-4.891995,-8.710162,-6.454672,S  9
-3.994327,-1.408251,-4.151765,-5.200321,-8.031023,-7.939795,-10.45487,-10.39816,-13.09396,-7.090678,-9.879258,-9.117022,S  9
-4.157024,-1.812167,-3.343663,-6.585042,-15.73303,-9.429098,-14.13975,-12.34186,-14.46856,-10.96992,-10.80258,-9.992832,S  9
-8.751789,-1.106939,-4.45557,-8.748977,-9.048773,-13.7538,-15.21832,-15.84432,-18.04922,-9.753231,-15.55353,-11.34182,S  9
-7.169867,-2.253986,-2.496707,-7.302784,-10.15244,-13.85741,-14.3781,-14.87212,-17.17542,-9.220727,-14.82126,-11.45208,S  9
-3.938617,-2.130468,-3.127189,-5.582441,-10.41722,-7.582901,-10.31235,-9.641168,-12.10772,-8.149312,-8.3123,-8.412632,S  9
-6.424712,-2.564262,-2.215956,-6.353163,-3.626074,-8.857832,-10.23247,-10.34681,-12.92873,-5.491719,-9.809973,-7.532469,S  9
-4.216807,-2.585048,-0.1095103,-4.105781,-3.734806,-7.265537,-7.44834,-7.143936,-10.78717,-3.451745,-6.360476,-4.84783,S  9
-3.299067,-1.918776,-0.196635,-3.166197,-2.079923,-4.971024,-8.240418,-7.527971,-11.01187,-1.925185,-5.281444,-4.128896,S  9
-0.1449585,-2.165857,0.1433407,-0.08635078,-0.5648463,-0.6567863,-1.447808,-0.1786118,-4.084931,0.4440591,1.167742,0.2166357,S  9
-0.7721648,-0.8797396,2.835401,0.7210006,5.423024,-0.249758,-0.9317194,0.5447953,-4.533109,3.762,2.480965,2.761733,S  9
-1.649804,-2.699225,1.412439,-1.684742,0.121856,-2.38043,-6.216401,-3.138521,-8.550735,1.029352,-1.869232,-1.331807,S  9
-0.4367818,-2.30965,-1.910258,-0.3188694,-3.417688,-2.248519,-1.72919,0.1381412,-4.67205,-1.085723,0.6461579,0.1067457,S  9
-2.025329,-0.5005292,1.115934,-0.610729,1.313534,-3.639938,-3.698549,-0.9328111,-4.907769,0.8161796,-0.8575014,1.404771,S  9
-3.867013,-3.513587,-3.230335,-4.397922,-4.514222,-7.273775,-7.118929,-4.12368,-8.852753,-4.243195,-5.532173,-4.917567,S  9
-6.972013,-4.139421,-4.843619,-6.850739,-8.005745,-10.80781,-8.869773,-7.129608,-10.41029,-7.320462,-9.534667,-6.870132,S  9
3.753326,3.3129,6.502821,4.8635,12.64222,6.329279,7.17495,7.604371,7.116286,9.130253,5.989959,6.614209,boundary
